title,mapped_industry,position_level
Kasjer / Kasjerka - Sprzedawca / Sprzedawczyni na stacji paliw,Marketing & Creative,"[""manual worker""]"
Kasjer / Kasjerka - Sprzedawca / Sprzedawczyni na stacji paliw,Technical Sales & B2B,"[""manual worker""]"
Kasjer / Kasjerka w kantorze,Marketing & Creative,"[""manual worker""]"
Kasjer / Kasjerka w kantorze,Finance & Banking,"[""manual worker""]"
Kasjer / Kasjerka,Finance & Banking,"[""specialist""]"
Kasjer lotniczy / Kasjerka lotnicza,,"[""specialist""]"
Kasjer lotniczy - ticketing specialist,Marketing & Creative,"[""specialist""]"
Kasjer (m/k),Technical Sales & B2B,"[""junior specialist"", ""specialist""]"
Kasjer (m/k),Technical Sales & B2B,"[""manual worker""]"
Kasjer (m/k/x),Technical Sales & B2B,"[""manual worker""]"
Kasjer,Technical Sales & B2B,"[""junior specialist""]"
Kasjer / Pracownik Hali,Marketing & Creative,"[""manual worker""]"
Kasjer / Sprzedawca,Technical Sales & B2B,"[""manual worker""]"
Kasjer/Sprzedawca,Technical Sales & B2B,"[""manual worker""]"
Kasjer-sprzedawca,Technical Sales & B2B,"[""manual worker""]"
Kasjer - Sprzedawca,Technical Sales & B2B,"[""manual worker""]"
Kasjer / Sprzedawca,Marketing & Creative,"[""manual worker""]"
Kasjer / Sprzedawca (k/m),Technical Sales & B2B,"[""manual worker""]"
Kasjer / Sprzedawca (k/m),Marketing & Creative,"[""manual worker""]"
Kasjer-sprzedawca (k/m/n),Technical Sales & B2B,"[""manual worker""]"
Kasjer-sprzedawca (k/m/n),Marketing & Creative,"[""manual worker""]"
Kasjer - Sprzedawca (k/m/os.),Marketing & Creative,"[""manual worker""]"
Kasjer/Sprzedawca (k/m/x),Technical Sales & B2B,"[""manual worker""]"
Kasjer / Sprzedawca (k/m/x),Technical Sales & B2B,"[""manual worker""]"
Kasjer – Sprzedawca / Kasjerka – Sprzedawczyni,Technical Sales & B2B,"[""manual worker""]"
Kasjer / Sprzedawca - Kasjerka / Sprzedawczyni - Bricomarche,Marketing & Creative,"[""manual worker""]"
Kasjer – Sprzedawca / Kasjerka – Sprzedawczyni w sklepie sportowym,Technical Sales & B2B,"[""specialist""]"
Kasjer - Sprzedawca (m/k) z możliwością przyuczenia,Technical Sales & B2B,"[""manual worker""]"
Kasjer-Sprzedawca,Technical Sales & B2B,"[""manual worker""]"
Kasjer - Sprzedawca (rozkładanie towaru),Technical Sales & B2B,"[""manual worker""]"
Kasjer/sprzedawca - sklep piekarniczy,Marketing & Creative,"[""manual worker""]"
Kasjer – Sprzedawca,Technical Sales & B2B,"[""manual worker""]"
Kasjer - Sprzedawca,Marketing & Creative,"[""manual worker""]"
Kasjer - Sprzedawca z obsługą social media,Marketing & Creative,"[""manual worker""]"
Kasjer - Sprzedawca,Technical Sales & B2B,"[""specialist""]"
Kasjer w placówce bankowej,Finance & Banking,"[""junior specialist""]"
Kasjer Walutowy - kantor - Pracownik Lombard,Marketing & Creative,"[""assistant""]"
Kasjer walutowy / Kasjerka walutowa,Finance & Banking,"[""specialist""]"
Kasjer zmianowy – Fakturzysta,Technical Sales & B2B,"[""manual worker""]"
KDB Developer (f/m/x),IT & Digital Tech,"[""specialist"", ""senior specialist""]"
KE Procurement Specialist,Logistics & Supply Chain,"[""specialist""]"
Kelner cateringowy / Kelnerka cateringowa,Hospitality & Gastronomy,"[""manual worker""]"
Kelner (K/M),Customer Service & Admin,"[""specialist""]"
Kelner (K/M) Novotel i ibis Kraków Centrum,Customer Service & Admin,"[""specialist""]"
Kelner/ka,Hospitality & Gastronomy,"[""specialist""]"
Kelner / Kelnerka - Barista / Baristka,Marketing & Creative,"[""manual worker""]"
Kelner / Kelnerka - Barman / Barmanka,Marketing & Creative,"[""manual worker""]"
Kelner / Kelnerka - Barman / Barmanka,Hospitality & Gastronomy,"[""manual worker""]"
Kelner / Kelnerka,Marketing & Creative,"[""manual worker""]"
Kelner / Kelnerka,Hospitality & Gastronomy,"[""manual worker""]"
Kelner / Kelnerka,,"[""manual worker""]"
Kelner/Kelnerka (k/m/n),Hospitality & Gastronomy,"[""specialist""]"
Kelner / Kelnerka (Long Bar / Europejski Grill Restaurant ),Hospitality & Gastronomy,"[""manual worker""]"
Kelner / Kelnerka - praca blisko granicy PL,Hospitality & Gastronomy,"[""manual worker""]"
Kelner / Kelnerka Restauracji Pizza Hut Janki,Marketing & Creative,"[""manual worker""]"
Kelner / Kelnerka śniadaniowa,Marketing & Creative,"[""manual worker""]"
Kelner / Kelnerka w Hotelu Courtyard by Marriott,Hospitality & Gastronomy,"[""junior specialist"", ""specialist""]"
Kelner / Kelnerka w VIP Lounge,Hospitality & Gastronomy,"[""manual worker""]"
Kelner / Kelnerka w Zespole Gastronomicznym KPRM,Marketing & Creative,"[""manual worker""]"
Kelner / Kelnerka,Marketing & Creative,"[""specialist""]"
Kelner / Kelnerka z zakwaterowaniem i wyżywieniem,Hospitality & Gastronomy,"[""manual worker""]"
Kelnerka,Hospitality & Gastronomy,"[""manual worker""]"
Key Account Executive,Technical Sales & B2B,"[""senior specialist""]"
Key Account Manager/ Account Manager,Technical Sales & B2B,"[""specialist"", ""senior specialist""]"
Key Account Manager / Account Manager,Engineering & Design,"[""specialist""]"
Key Account Manager Air&Sea&Rail (m/k),Engineering & Design,"[""specialist""]"
Key Account Manager - Automotive Segment (m/f/d),Technical Sales & B2B,"[""specialist""]"
Key Account Manager Away From Home / HoReCa,Technical Sales & B2B,"[""manager""]"
Key Account Manager B2B,Technical Sales & B2B,"[""specialist""]"
Key Account Manager B2B (klienci korporacyjni),Technical Sales & B2B,"[""senior specialist""]"
Key Account Manager B2B – tuleje papierowe,Engineering & Design,"[""senior specialist"", ""expert""]"
Key Account Manager - banki i fintechy,Finance & Banking,"[""manager""]"
Key Account Manager,Technical Sales & B2B,"[""junior specialist"", ""specialist""]"
Key Account Manager,IT & Digital Tech,"[""specialist"", ""senior specialist""]"
Key Account Manager,Engineering & Design,"[""manager""]"
Key Account Manager - branża architektoniczna,Technical Sales & B2B,"[""specialist""]"
Key Account Manager (branża HVAC),Engineering & Design,"[""specialist"", ""senior specialist""]"
Key Account Manager - branża IT,IT & Digital Tech,"[""specialist""]"
Key Account Manager (branża KEP / TSL) (k/m/n),Technical Sales & B2B,"[""senior specialist"", ""expert""]"
Key Account Manager - branża kosmetyczna / beauty,Medicine & Pharma,"[""specialist""]"
Key Account Manager (Branża Laboratoryjna - Food) (K/M),Medicine & Pharma,"[""specialist""]"
Key Account Manager - branża medyczna,Medicine & Pharma,"[""specialist""]"
Key Account Manager - branża stomatologiczna,Medicine & Pharma,"[""specialist""]"
Key Account Manager - branża TSL,Technical Sales & B2B,"[""manager"", ""director""]"
Key Account Manager - branża wykończenia wnętrz,Technical Sales & B2B,"[""specialist""]"
Key Account Manager,Technical Sales & B2B,"[""specialist""]"
Key Account Manager CDMO,,"[""manager"", ""team manager""]"
Key Account Manager,Engineering & Design,"[""senior specialist"", ""expert""]"
Key Account Manager ds. Eksportu,Technical Sales & B2B,"[""specialist""]"
Key Account Manager ds. Inwestycji Obiektowych,Engineering & Design,"[""senior specialist"", ""expert""]"
Key Account Manager ds. obsługi Edukacji – Szkoły i Uczelnie,IT & Digital Tech,"[""specialist""]"
Key Account Manager ds. rynku nowoczesnego,Medicine & Pharma,"[""team manager"", ""manager""]"
Key Account Manager ds. sieci aptecznych i drogerii,Technical Sales & B2B,"[""manager""]"
Key Account Manager ds. sieci aptecznych,Medicine & Pharma,"[""manager""]"
Key Account Manager ds. sieci handlowych (branża spożywcza),Engineering & Design,"[""senior specialist"", ""expert""]"
Key Account Manager ds. sieci handlowych i sklepów,Technical Sales & B2B,"[""specialist""]"
Key Account Manager ds. sieci (K/M) - branża wina i alkohole mocne,Technical Sales & B2B,"[""junior specialist"", ""specialist""]"
Key Account Manager ds. sprzedaży hurtowej,Engineering & Design,"[""specialist""]"
Key Account Manager – Dział New Business,Technical Sales & B2B,"[""specialist""]"
Key Account Manager - dział onkologii,Medicine & Pharma,"[""manager""]"
Key Account Manager - Dział Opon Ciężarowych,Technical Sales & B2B,"[""manager""]"
Key Account Manager eCommerce,Technical Sales & B2B,"[""specialist""]"
Key Account Manager – Eksport (świeże mięso z kurczaka) (K/M),Technical Sales & B2B,"[""specialist"", ""senior specialist""]"
Key Account Manager – Europa Północna i Niemcy,Engineering & Design,"[""manager""]"
Key Account Manager - Export,Technical Sales & B2B,"[""senior specialist"", ""expert""]"
Key Account Manager F/M),Engineering & Design,"[""specialist""]"
Key Account Manager (f/m) - branża kosmetyczna,Medicine & Pharma,"[""specialist"", ""senior specialist""]"
Key Account Manager (F/M/D),Medicine & Pharma,"[""specialist"", ""senior specialist""]"
Key Account Manager (F/M),Engineering & Design,"[""specialist"", ""senior specialist""]"
Key Account Manager (F/M) - sprzedaż energii elektrycznej,Engineering & Design,"[""specialist""]"
Key Account Manager (F/M),Finance & Banking,"[""senior specialist"", ""expert""]"
Key Account Manager (F/M),Technical Sales & B2B,"[""team manager""]"
Key Account Manager (flota),Technical Sales & B2B,"[""specialist""]"
Key Account Manager – FMCG (kanał nowoczesny),Technical Sales & B2B,"[""team manager""]"
Key Account Manager (FMCG) (m/f),Technical Sales & B2B,"[""senior specialist""]"
Key Account Manager – FMCG (sieci drogeryjne / kanał nowoczesny),Medicine & Pharma,"[""specialist""]"
Key Account Manager – FMCG / Sieci Handlowe,Technical Sales & B2B,"[""specialist"", ""senior specialist""]"
Key Account Manager (fracht drogowy) (k/m),Technical Sales & B2B,"[""senior specialist"", ""expert""]"
Key Account Manager,Engineering & Design,"[""specialist""]"
Key Account Manager,Technical Sales & B2B,"[""specialist"", ""senior specialist""]"
Key Account Manager,Medicine & Pharma,"[""specialist""]"
"Key Account Manager – (HoReCa, hotele, gastronomia)",Technical Sales & B2B,"[""team manager"", ""manager""]"
Key Account Manager (HoReCa) (m/k),Technical Sales & B2B,"[""specialist""]"
Key Account Manager HORECA,Technical Sales & B2B,"[""manager""]"
Key Account Manager (Industrial automation) (f/m/n),Engineering & Design,"[""specialist"", ""senior specialist""]"
Key Account Manager/International Key Account Manager (k/m),Technical Sales & B2B,"[""expert""]"
Key Account Manager - International projects,IT & Digital Tech,"[""specialist""]"
Key Account Manager (K/M),IT & Digital Tech,"[""senior specialist"", ""expert""]"
Key Account Manager (K/M),Engineering & Design,"[""manager""]"
Key Account Manager (K/M),Medicine & Pharma,"[""specialist""]"
Key Account Manager (K/M),Engineering & Design,"[""specialist""]"
Key Account Manager (K/M),IT & Digital Tech,"[""specialist"", ""senior specialist""]"
Key Account Manager (K/M/N),Engineering & Design,"[""specialist""]"
Key Account Manager (k/m/n),Engineering & Design,"[""specialist"", ""senior specialist""]"
Key Account Manager (K/M/N),IT & Digital Tech,"[""specialist"", ""senior specialist""]"
Key Account Manager (k/m/nb),Engineering & Design,"[""specialist""]"
Key Account Manager (k/m) - Suplementy Diety,Medicine & Pharma,"[""specialist"", ""senior specialist""]"
Key Account Manager – (K/M),Engineering & Design,"[""specialist"", ""senior specialist""]"
Key Account Manager (k/m),Finance & Banking,"[""specialist""]"
Key Account Manager (K/M),Technical Sales & B2B,"[""specialist"", ""senior specialist""]"
Key Account Manager (k/m/x),Technical Sales & B2B,"[""specialist"", ""senior specialist""]"
Key Account Manager/ka - branża poligraficzna,Engineering & Design,"[""manager""]"
Key Account Manager/ka,Engineering & Design,"[""specialist"", ""senior specialist""]"
Key Account Manager/ka - DACH,Engineering & Design,"[""manager""]"
Key Account Manager/ka ds. Exportu,Engineering & Design,"[""specialist""]"
Key Account Manager/ka Hospital & Specialty Care,Medicine & Pharma,"[""specialist""]"
Key Account Manager (KAM) – FMCG | sieci nowoczesne (Biedronka / Lidl + inne sieci),Technical Sales & B2B,"[""manager""]"
Key Account Manager (KAM),Technical Sales & B2B,"[""specialist""]"
Key Account Manager (KAM) – MUSTELA & Suplementy Diety Premium,Medicine & Pharma,"[""specialist""]"
Key Account Manager,Finance & Banking,"[""specialist""]"
Key Account Manager / Key Account Managerka,Medicine & Pharma,"[""specialist""]"
Key Account Manager/Key Account Managerka,Technical Sales & B2B,"[""specialist""]"
KEY ACCOUNT MANAGER / KEY ACCOUNT MANAGERKA,Technical Sales & B2B,"[""manager""]"
Key Account Manager / Key Account Managerka,IT & Digital Tech,"[""specialist"", ""senior specialist""]"
Key Account Manager - Klienci Korporacyjni (m/k),Engineering & Design,"[""senior specialist"", ""expert""]"
Key Account Manager ( klienci krajowi i zagraniczni),Marketing & Creative,"[""manager""]"
Key Account Manager,IT & Digital Tech,"[""specialist""]"
Key Account Manager - kruszywa z recyklingu,Engineering & Design,"[""manager""]"
Key Account Manager,Technical Sales & B2B,"[""manager""]"
Key Account Manager - Logistyka Kontraktowa (M/K),Engineering & Design,"[""specialist"", ""senior specialist""]"
Key Account Manager Logistyki Kontraktowej (m/k),Technical Sales & B2B,"[""manager""]"
Key Account Manager,Engineering & Design,"[""specialist"", ""senior specialist""]"
Key Account Manager (m/f/d),Engineering & Design,"[""specialist"", ""senior specialist""]"
Key Account Manager (M/K),Engineering & Design,"[""specialist""]"
Key Account Manager (m/k/n),Engineering & Design,"[""specialist""]"
Key Account Manager (m/k/os),Technical Sales & B2B,"[""specialist""]"
Key Account Manager (M/K),Technical Sales & B2B,"[""specialist""]"
Key Account Manager - Manager ds. sprzedaży i współpracy z klientami kluczowymi,Finance & Banking,"[""expert""]"
Key Account Manager / Managera - konsultant / konsultantka ds. Sprzedaży,IT & Digital Tech,"[""senior specialist""]"
Key Account Manager / Managerka (standy POS),Engineering & Design,"[""specialist"", ""senior specialist""]"
"Key Account Manager- Modern Trade (nabiał, wędliny, garmażeria) K/M/N",Technical Sales & B2B,"[""manager""]"
Key Account Manager (Modern Trade),Technical Sales & B2B,"[""senior specialist"", ""expert""]"
Key Account Manager - obszar działania – Polska północna,Engineering & Design,"[""specialist"", ""senior specialist""]"
Key Account Manager (Ochrona Środowiska) (K/M),Medicine & Pharma,"[""specialist""]"
Key Account Manager - Onkologia (K/M),Medicine & Pharma,"[""specialist"", ""senior specialist""]"
"Key Account Manager (opakowania z tektury litej, falistej, kaszerowanej, POS, folie, etykiety, PET, tworzywa sztuczne)",Engineering & Design,"[""specialist""]"
Key Account Manager OTOMOTO,Finance & Banking,"[""expert""]"
Key Account Manager,Engineering & Design,"[""team manager""]"
Key Account Manager (Retail & e-commerce) – branża IT / dystrybucja elektroniki użytkowej,Engineering & Design,"[""specialist""]"
Key Account Manager Retail (k/m/n),Technical Sales & B2B,"[""specialist""]"
Key Account Manager - Roboty (Positive Machines) M/F,IT & Digital Tech,"[""specialist"", ""senior specialist""]"
Key Account Manager – rynek hiszpański i portugalski (branża beauty),Medicine & Pharma,"[""team manager""]"
Key Account Manager – Rynek Nowoczesny (k/m),Medicine & Pharma,"[""specialist""]"
Key Account Manager - rynki niemieckie,Technical Sales & B2B,"[""specialist"", ""senior specialist""]"
Key Account Manager - Sektor Public Services Providers (k/m),IT & Digital Tech,"[""specialist""]"
Key Account Manager (Service Sales) M/F,Technical Sales & B2B,"[""specialist"", ""senior specialist""]"
Key Account Manager - Smart Home (Polska),Engineering & Design,"[""specialist""]"
Key Account Manager – Smart Transportation,IT & Digital Tech,"[""specialist""]"
Key Account Manager - Specjalista / Specjalistka ds. Sprzedaży Oświetlenia,Engineering & Design,"[""junior specialist"", ""specialist""]"
Key Account Manager (sprzęt medyczny),Medicine & Pharma,"[""specialist""]"
Key Account Manager (Stolarka Otworowa) (m/f),Engineering & Design,"[""specialist""]"
Key Account Manager – Szalunki,Finance & Banking,"[""team manager""]"
Key Account Manager,Engineering & Design,"[""senior specialist""]"
Key Account Manager - Transport i spedycja (M/K),Logistics & Supply Chain,"[""specialist"", ""senior specialist""]"
Key Account Manager (usługi chmurowe),Engineering & Design,"[""specialist""]"
Key Account Manager w branży gospodarki odpadami,Technical Sales & B2B,"[""specialist""]"
Key Account Manager w branży kosmetycznej,Medicine & Pharma,"[""team manager"", ""manager""]"
Key Account Manager w Dziale Eksportu (K/M/N),Engineering & Design,"[""manager""]"
Key Account Manager,Medicine & Pharma,"[""senior specialist"", ""expert""]"
Key Account Manager,Medicine & Pharma,"[""specialist"", ""senior specialist""]"
Key Account Manager,IT & Digital Tech,"[""team manager""]"
Key Account Manager,Engineering & Design,"[""expert""]"
Key Account Manager,Marketing & Creative,"[""specialist""]"
Key Account Manager,Technical Sales & B2B,"[""senior specialist"", ""expert""]"
Key Account Manager,Technical Sales & B2B,"[""senior specialist""]"
Key account manager (z j. angielskim),IT & Digital Tech,"[""manager""]"
Key account manager (z j. polskim),Engineering & Design,"[""specialist""]"
Key Account Manager - z językiem angielskim,Engineering & Design,"[""specialist"", ""senior specialist""]"
Key Account Manager z językiem obcym (k/m),Technical Sales & B2B,"[""specialist""]"
Key Account Representative,Medicine & Pharma,"[""expert""]"
Key Account Sales Manager,Engineering & Design,"[""specialist""]"
Key Account Sales Specialist Aerospace,Technical Sales & B2B,"[""specialist""]"
Key Account Specialist,Medicine & Pharma,"[""specialist""]"
Key Account Specialist ds. aptek i sieci aptecznych,Medicine & Pharma,"[""senior specialist""]"
Key Account Specialist (m/k),Medicine & Pharma,"[""specialist""]"
"Key Account Specialist - onkologia (pomorskie, kujawsko-pomorskie)",Engineering & Design,"[""specialist""]"
Key Account Specialist - onkologia | reumatologia,Medicine & Pharma,"[""specialist""]"
Key Account Specialist – (Shop Fitting),Engineering & Design,"[""specialist"", ""senior specialist""]"
Key Account Specialist,IT & Digital Tech,"[""specialist""]"
Key Account Specialist / Specjalista(-ka) ds. Kluczowych Klientów,Medicine & Pharma,"[""specialist""]"
Key Account Specialist,Technical Sales & B2B,"[""specialist""]"
Key Account Specjalista – Dział Sprzedaży,Marketing & Creative,"[""senior specialist""]"
Key Accounts Exectuive - HoReCa,Engineering & Design,"[""specialist""]"
Key Accounts Manager (m/f/d),IT & Digital Tech,"[""specialist"", ""senior specialist""]"
Key Client Partner,IT & Digital Tech,"[""specialist""]"
Key Client Partner,Engineering & Design,"[""specialist""]"
Key Project Sales Engineer (k/m),Engineering & Design,"[""specialist"", ""senior specialist""]"
Key User Manager - Dział Elektronarzędzi Bosch (f/m),Engineering & Design,"[""specialist"", ""senior specialist""]"
Key User Material Management,Logistics & Supply Chain,"[""specialist"", ""senior specialist""]"
Key User Microsoft Dynamics 365,IT & Digital Tech,"[""junior specialist""]"
"Kierowca 3,5 t – Operator Maszyn Pralniczych - Pruszków, Piastów",Logistics & Supply Chain,"[""manual worker""]"
Kierowca asenizacyjny (k/m) | kat. C lub C+E,Logistics & Supply Chain,"[""manual worker""]"
Kierowca asenizacyjny (k/m)| kategoria C lub C+E,Logistics & Supply Chain,"[""manual worker""]"
Kierowca asenizacyjny (k/m) | kategoria C lub C+E,Logistics & Supply Chain,"[""manual worker""]"
Kierowca autobusu,Logistics & Supply Chain,"[""manual worker""]"
Kierowca autobusu - darmowe szkolenie dla kierowcy kat. B lub C (k/m),Logistics & Supply Chain,"[""manual worker""]"
Kierowca autobusu – European Security Academy,Logistics & Supply Chain,"[""manual worker""]"
Kierowca autobusu (K/M) - kurs z gwarancją zatrudnienia (start 20 kwietnia 2026),Logistics & Supply Chain,"[""manual worker""]"
Kierowca Autobusu (k/m),Logistics & Supply Chain,"[""manual worker""]"
"Kierowca Autobusu kat. D – System 6/2, 5/2, 3/1, 2/1 i inne",Logistics & Supply Chain,"[""manual worker""]"
Kierowca autobusu - komunikacja miejska,Logistics & Supply Chain,"[""manual worker""]"
Kierowca Autobusu Komunikacji Miejskiej (K/M),Logistics & Supply Chain,"[""manual worker""]"
Kierowca autobusu komunikacji miejskiej (k/m),Logistics & Supply Chain,"[""manual worker""]"
Kierowca autobusu linii miejskich (k/m),Logistics & Supply Chain,"[""manual worker""]"
Kierowca Autobusu Miejskiego (k/m) - kurs kat. D,Logistics & Supply Chain,"[""manual worker""]"
Kierowca autobusu miejskiego (m/k/n),Logistics & Supply Chain,"[""manual worker""]"
Kierowca Autobusu na Lotnisku (m/k),Logistics & Supply Chain,"[""manual worker""]"
Kierowca Autobusu w Komunikacji Miejskiej,Logistics & Supply Chain,"[""manual worker""]"
Kierowca Autocysterny ADR - przewóz paliw płynnych (m/k),Logistics & Supply Chain,"[""manual worker""]"
Kierowca autocysterny,Logistics & Supply Chain,"[""manual worker""]"
Kierowca B+E (k/m),Marketing & Creative,"[""manual worker""]"
Kierowca B+E przy dziale technicznym [k/m],Logistics & Supply Chain,"[""manual worker""]"
Kierowca Betonomieszarki (M/K),Logistics & Supply Chain,"[""manual worker""]"
Kierowca betonomieszarki,Logistics & Supply Chain,"[""manual worker""]"
Kierowca,Logistics & Supply Chain,"[""manual worker""]"
Kierowca busa kat. B,Logistics & Supply Chain,"[""manual worker""]"
"Kierowca busa kat. B do 3,5 DMC - transport krajowy",Logistics & Supply Chain,"[""manual worker""]"
"Kierowca busa kat. B do 3,5 DMC - transport międzynarodowy",Logistics & Supply Chain,"[""manual worker""]"
"Kierowca busa kat. B do 3,5 DMC - transport",Logistics & Supply Chain,"[""manual worker""]"
"Kierowca busa kat. B do 3,5 DMC z windą",Logistics & Supply Chain,"[""manual worker""]"
Kierowca busa kat. B / Załadunkowiec,Logistics & Supply Chain,"[""manual worker""]"
Kierowca busa w transporcie międzynarodowym - system 3 na 1,Logistics & Supply Chain,"[""manual worker""]"
Kierowca busa z plandeką - kat. B,Logistics & Supply Chain,"[""manual worker""]"
Kierowca C+E - autotransporter,Logistics & Supply Chain,"[""manual worker""]"
Kierowca C+E autotransporter LOHR 2.53 WXS,Logistics & Supply Chain,"[""manual worker""]"
"Kierowca C+E, B+E",Logistics & Supply Chain,"[""manual worker""]"
Kierowca C+E,Logistics & Supply Chain,"[""manual worker""]"
Kierowca C+E CE - Transport Krajowy Kontenery - Międzynarodowy DE-PL,Logistics & Supply Chain,"[""manual worker""]"
Kierowca C+E - Chłodnia,Logistics & Supply Chain,"[""manual worker""]"
Kierowca C+E chłodnie k/m,Logistics & Supply Chain,"[""manual worker""]"
Kierowca C+E cysterna spożywcza,Logistics & Supply Chain,"[""manual worker""]"
Kierowca C+E HDS transport drewna,Logistics & Supply Chain,"[""manual worker""]"
Kierowca C+E i C+D,Logistics & Supply Chain,"[""manual worker""]"
Kierowca C+E (K/M),Logistics & Supply Chain,"[""manual worker""]"
Kierowca C+E - K / M,Logistics & Supply Chain,"[""manual worker""]"
Kierowca C+E (k/m),Logistics & Supply Chain,"[""manual worker""]"
Kierowca C+E k/m,Logistics & Supply Chain,"[""manual worker""]"
Kierowca C+E (k/m) plandeka,Logistics & Supply Chain,"[""manual worker""]"
Kierowca C+E (k/m) silos,Logistics & Supply Chain,"[""manual worker""]"
Kierowca C+E (k/m) wywrotka,Logistics & Supply Chain,"[""manual worker""]"
Kierowca C+E kontenery morskie k/m,Logistics & Supply Chain,"[""manual worker""]"
Kierowca C+E Kontenery Morskie,Logistics & Supply Chain,"[""manual worker""]"
Kierowca C+E kontenery,Logistics & Supply Chain,"[""manual worker""]"
Kierowca C+E lub C,Logistics & Supply Chain,"[""junior specialist""]"
Kierowca C+E (M/K),Logistics & Supply Chain,"[""manual worker""]"
Kierowca C+E (m/k),Logistics & Supply Chain,"[""manual worker""]"
Kierowca C+E (M/K/X),Logistics & Supply Chain,"[""manual worker""]"
Kierowca C+E międzynarodowy Grecja,Logistics & Supply Chain,"[""manual worker""]"
"Kierowca C+E – Niemcy – system 2/1, 3/1 lub bez systemu",Logistics & Supply Chain,"[""manual worker""]"
Kierowca C+E - Operator Systemu Mieszalniczo-Załadowczego (k/m),Engineering & Design,"[""manual worker""]"
Kierowca C+E oraz ADR krajowy i międzynarodowy,Logistics & Supply Chain,"[""manual worker""]"
"Kierowca C+E oraz ADR, krajowy transport gazu",Logistics & Supply Chain,"[""manual worker""]"
Kierowca C+E - praca na fermie,Logistics & Supply Chain,"[""manual worker""]"
Kierowca C+E – Skoczek,Logistics & Supply Chain,"[""manual worker""]"
"Kierowca C+E - System 2/1, 2/2, 3/1, 4/1, 4/2",Logistics & Supply Chain,"[""manual worker""]"
Kierowca C+E – transport krajowy,Logistics & Supply Chain,"[""manual worker""]"
Kierowca C+E transport krajowy,Logistics & Supply Chain,"[""manual worker""]"
Kierowca C+E – transport krajowy lub zagraniczny,Logistics & Supply Chain,"[""manual worker""]"
Kierowca C+E - transport krajowy,Logistics & Supply Chain,"[""manual worker""]"
"Kierowca C+E, transport międzynarodowy - chłodnia (m/k)",Logistics & Supply Chain,"[""manual worker""]"
Kierowca C+E Transport Międzynarodowy,Logistics & Supply Chain,"[""manual worker""]"
Kierowca C+E – Transport Międzynarodowy / Krajowy (m/k),Logistics & Supply Chain,"[""manual worker""]"
Kierowca C+E – Transport międzynarodowy,Logistics & Supply Chain,"[""expert""]"
"Kierowca C+E, transport międzynarodowy - Unia Europejska (m/k)",Logistics & Supply Chain,"[""manual worker""]"
Kierowca C+E w ruchu krajowym / międzynarodowym cysterna spożywcza / silos,Logistics & Supply Chain,"[""manual worker""]"
Kierowca C+E w ruchu międzynarodowym,Logistics & Supply Chain,"[""manual worker""]"
Kierowca C+E w systemie 2/1 (k/m) - bez wymogu doświadczenia,Marketing & Creative,"[""manual worker""]"
"Kierowca C+E w systemie 2/2, 2/1 lub bez systemu",Logistics & Supply Chain,"[""manual worker""]"
Kierowca C+E - wywrotka,Logistics & Supply Chain,"[""manual worker""]"
Kierowca C+E wywrotka - międzynarodowy,Logistics & Supply Chain,"[""manual worker""]"
Kierowca C+E z niemiecką umową (k/m/n),Logistics & Supply Chain,"[""manual worker""]"
Kierowca C+E z uprawnieniami ADR - Transport cysterną chemiczną,Logistics & Supply Chain,"[""manual worker""]"
Kierowca C+E - Zestaw niskopodwoziowy / Operator koparki (k/m),Logistics & Supply Chain,"[""manual worker""]"
Kierowca C + E,Logistics & Supply Chain,"[""manual worker""]"
Kierowca C + E - Transport Krajowy (k/m),Logistics & Supply Chain,"[""manual worker""]"
"Kierowca C, C+E",Logistics & Supply Chain,"[""manual worker""]"
Kierowca C - Dzierżoniów przerzuty magazynowe,Logistics & Supply Chain,"[""manual worker""]"
Kierowca C - Operator (M/K),Logistics & Supply Chain,"[""manual worker""]"
"Kierowca C, transport opon i kół",Logistics & Supply Chain,"[""manual worker""]"
Kierowca CE Autotransportera (k/m),Logistics & Supply Chain,"[""manual worker""]"
Kierowca CE / C,Logistics & Supply Chain,"[""manual worker""]"
Kierowca CE Międzynarodowy (K/M),Logistics & Supply Chain,"[""manual worker""]"
Kierowca CE / osoba wsparcia gospodarczego,Logistics & Supply Chain,"[""manual worker""]"
Kierowca ciągnika na terminalu kontenerowym z kat. C,Logistics & Supply Chain,"[""manual worker""]"
Kierowca ciągnika siodłowego,Logistics & Supply Chain,"[""manual worker""]"
Kierowca ciężarówki,Logistics & Supply Chain,"[""manual worker""]"
Kierowca ciężarówki C+E+HDS,Logistics & Supply Chain,"[""manual worker""]"
Kierowca ciężarówki C+E - Водитель CE для международных перевозок,Logistics & Supply Chain,"[""manual worker""]"
Kierowca ciężarówki C+E BDF,Logistics & Supply Chain,"[""manual worker""]"
Kierowca ciężarówki C+E,Logistics & Supply Chain,"[""manual worker""]"
Kierowca ciężarówki C+E - Chłodnia / Plandeka,Logistics & Supply Chain,"[""manual worker""]"
Kierowca ciężarówki C+E (k/m),Logistics & Supply Chain,"[""manual worker""]"
"Kierowca ciężarówki C+E, na potrzeby własne",Logistics & Supply Chain,"[""manual worker""]"
Kierowca ciężarówki C+E,Construction & Real Estate,"[""manual worker""]"
Kierowca ciężarówki C+E w ruchu międzynarodowym,Logistics & Supply Chain,"[""manual worker""]"
Kierowca ciężarówki CE,Logistics & Supply Chain,"[""manual worker""]"
